timestamp,elapsed_time,sequence,attention,alpha,theta,beta,bpm,rmssd,motor_state
2026-05-06 22:27:55.577,0.6300008296966553,196,0.35607120394706726,5837818.0,15680085.0,7266120.5,90.0112533569336,389.2485046386719,0
2026-05-06 22:27:56.963,2.0168259143829346,197,0.3280118405818939,10221041.0,30827512.0,9266834.0,89.2635726928711,395.84710693359375,0
2026-05-06 22:27:58.356,3.4091696739196777,198,0.332004576921463,1071606.625,2658863.75,1272618.375,90.19165802001953,391.8080749511719,0
2026-05-06 22:27:59.734,4.787822246551514,199,0.3349315822124481,1792657.5,3760044.75,2014801.625,91.35896301269531,388.4001159667969,0
2026-05-06 22:28:01.115,6.168689250946045,200,0.33054038882255554,5458602.0,12751451.0,5226503.0,89.29678344726562,404.49224853515625,0
2026-05-06 22:28:02.505,7.5588624477386475,201,0.35182759165763855,4338986.5,7444482.0,5574940.5,89.0207748413086,404.09869384765625,0
2026-05-06 22:28:03.900,8.953408241271973,202,0.3327649235725403,3403610.5,19437568.0,5917224.5,90.28213500976562,403.0303649902344,0
2026-05-06 22:28:05.307,10.360377550125122,203,0.32315000891685486,367596.6875,2559583.25,983475.0625,89.7979507446289,405.58026123046875,0
2026-05-06 22:28:06.701,11.754122018814087,204,0.31714361906051636,12294151.0,29397908.0,11795804.0,89.51883697509766,404.2192687988281,0
2026-05-06 22:28:08.108,13.161809206008911,205,0.39113539457321167,678215.125,1453871.0,1549598.625,87.74067687988281,402.4348449707031,0
2026-05-06 22:28:09.499,14.552499055862427,206,0.37264522910118103,1511263.25,3077947.5,1587559.125,90.63443756103516,405.0857849121094,0
2026-05-06 22:28:10.897,15.950109958648682,207,0.352119117975235,8636670.0,16329502.0,7083775.0,90.97801208496094,401.8005065917969,0
2026-05-06 22:28:12.334,17.387860536575317,208,0.6141864657402039,1057694.875,944374.25,4028453.0,92.29586029052734,385.6356201171875,0
2026-05-06 22:28:13.812,18.8654522895813,209,0.5376169085502625,12734134.0,42136808.0,13188221.0,92.29586029052734,385.6356201171875,0
2026-05-06 22:28:15.265,20.3181209564209,210,0.4870079755783081,11162874.0,25744742.0,10328211.0,91.05855560302734,405.1401672363281,0
2026-05-06 22:28:16.668,21.721145391464233,211,0.48788514733314514,23882666.0,15391622.0,19639880.0,91.05855560302734,405.1401672363281,0
2026-05-06 22:28:18.116,23.169389247894287,212,0.4577094316482544,3363621.5,12040878.0,5174948.0,89.91009521484375,403.9288024902344,0
2026-05-06 22:28:19.507,24.560797214508057,213,0.45376136898994446,865178.4375,1572067.375,977666.8125,91.64968872070312,387.31475830078125,0
2026-05-06 22:28:20.927,25.980102062225342,214,0.4086405038833618,12713231.0,50342776.0,15659388.0,90.32743835449219,394.87982177734375,0
2026-05-06 22:28:22.358,27.411728143692017,215,0.37733832001686096,471550240.0,557665408.0,362603040.0,89.57452392578125,389.2675476074219,0
2026-05-06 22:28:23.756,28.809412002563477,216,0.3708033263683319,29269580.0,53955944.0,25512024.0,89.76436614990234,389.09228515625,0
2026-05-06 22:28:25.169,30.222014904022217,217,0.3097906708717346,160754608.0,1006882048.0,72536936.0,88.58267974853516,391.19384765625,0
2026-05-06 22:28:26.586,31.639917373657227,218,0.3147982656955719,31551230.0,67062232.0,32397736.0,87.47418212890625,390.909423828125,0
2026-05-06 22:28:27.999,33.05283045768738,219,0.30205199122428894,31933236.0,83459184.0,27986376.0,88.62628936767578,395.7774963378906,0
2026-05-06 22:28:29.394,34.44774627685547,220,0.3790532648563385,3630284.25,7511745.0,7857540.5,91.05855560302734,396.2964172363281,0
2026-05-06 22:28:30.784,35.8375780582428,221,0.3604850471019745,7260900.5,21505212.0,7905406.0,91.05855560302734,396.2964172363281,0
2026-05-06 22:28:32.196,37.24906516075134,222,0.3426022529602051,49308912.0,228628064.0,75875904.0,88.6699447631836,442.9906005859375,0
2026-05-06 22:28:33.634,38.68724465370178,223,0.4214931130409241,12383904.0,33775884.0,34545376.0,87.31505584716797,446.5574645996094,0
2026-05-06 22:28:35.023,40.07664608955383,224,0.4001734256744385,11390171.0,27851272.0,12074576.0,88.23529052734375,452.39990234375,0
2026-05-06 22:28:36.428,41.481220722198486,225,0.45776283740997314,28439996.0,28106308.0,58251836.0,89.0648193359375,442.9786376953125,0
2026-05-06 22:28:37.839,42.8926203250885,226,0.4361444115638733,23065232.0,116997208.0,51509684.0,87.60189819335938,432.48492431640625,0
2026-05-06 22:28:39.235,44.288803577423096,227,0.4085918664932251,3359211.0,15618855.0,7765941.0,91.96576690673828,420.4048767089844,0
2026-05-06 22:28:40.615,45.66835021972656,228,0.36556485295295715,17894038.0,71824288.0,17259634.0,91.8016128540039,420.91253662109375,0
2026-05-06 22:28:42.033,47.08668375015259,229,0.35636937618255615,21285832.0,79983904.0,32002340.0,90.36144256591797,429.2479553222656,0
2026-05-06 22:28:43.444,48.497761487960815,230,0.3472973108291626,28515254.0,66041892.0,30008224.0,89.80915832519531,426.921875,0
2026-05-06 22:28:44.857,49.91002917289734,231,0.3475038707256317,9036982.0,20377228.0,10983835.0,88.11650848388672,428.75213623046875,0
2026-05-06 22:28:46.266,51.31950259208679,232,0.3538697361946106,1840540.25,7733114.0,3681412.5,88.03032684326172,438.44244384765625,0
2026-05-06 22:28:47.657,52.7105028629303,233,0.33145472407341003,34599796.0,94649712.0,29222072.0,85.41938018798828,487.2040710449219,0
2026-05-06 22:28:49.048,54.101229667663574,234,0.32652565836906433,25522626.0,63278692.0,28411662.0,86.69476318359375,483.4388732910156,0
2026-05-06 22:28:50.467,55.52000546455383,235,0.33481961488723755,7850678.0,12347187.0,8918168.0,87.35743713378906,486.9239501953125,0
2026-05-06 22:28:51.856,56.90898084640503,236,0.40241920948028564,1388862.125,4922265.0,2002495.875,85.23735809326172,509.8155212402344,0
2026-05-06 22:28:53.263,58.31680631637573,237,0.38182955980300903,17985560.0,38021316.0,17025592.0,82.34217834472656,511.8858642578125,0
2026-05-06 22:28:54.656,59.709245681762695,238,0.5242185592651367,300866.9375,892446.875,1121723.625,81.678955078125,544.3009643554688,0
2026-05-06 22:28:56.047,61.10049557685852,239,0.4754399061203003,18177700.0,37514032.0,16235178.0,82.21055603027344,543.2037353515625,0
2026-05-06 22:28:57.477,62.53023648262024,240,0.4417116343975067,21090968.0,33339228.0,16857130.0,82.29512023925781,544.4005737304688,0
2026-05-06 22:28:58.876,63.92957806587219,241,0.42099347710609436,13379079.0,70671600.0,28452128.0,82.72058868408203,546.7802124023438,0
2026-05-06 22:29:00.267,65.32012009620667,242,0.42523568868637085,8361836.5,16994874.0,9697604.0,84.62623596191406,537.3873291015625,0
2026-05-06 22:29:01.675,66.7282395362854,243,0.41978031396865845,27193572.0,64955224.0,38023872.0,87.00906372070312,509.3170166015625,0
2026-05-06 22:29:03.054,68.1078987121582,244,0.3797013461589813,25185786.0,99527416.0,24212282.0,88.04108428955078,507.0812072753906,0
2026-05-06 22:29:04.426,69.4790530204773,245,0.36732247471809387,2653412.75,6905353.5,3868060.75,91.05855560302734,500.8987731933594,0
2026-05-06 22:29:05.823,70.87596583366394,246,0.362874835729599,21199590.0,49308460.0,23271068.0,91.9422836303711,501.6291198730469,0
2026-05-06 22:29:07.213,72.26677560806274,247,0.3593968451023102,21853010.0,47070384.0,22985700.0,91.54481506347656,501.6363220214844,0
2026-05-06 22:29:08.616,73.66934466362,248,0.4195636510848999,3635053.0,4448801.0,5732831.5,89.82035827636719,506.8910827636719,0
2026-05-06 22:29:10.036,75.08923625946045,249,0.3858465552330017,8114734.0,25709100.0,8796334.0,90.23686981201172,507.2771301269531,0
2026-05-06 22:29:11.470,76.52299427986145,250,0.3579999506473541,27427418.0,62356568.0,22999946.0,89.59680938720703,511.8705139160156,0
2026-05-06 22:29:12.900,77.95324349403381,251,0.3823893368244171,14371419.0,27012824.0,18724530.0,90.04502868652344,511.3992919921875,0
2026-05-06 22:29:14.307,79.3600401878357,252,0.3827877342700958,5728234.5,49800548.0,21635832.0,90.04502868652344,511.3992919921875,0
2026-05-06 22:29:15.691,80.74490356445312,253,0.3535236120223999,5170680.0,11687534.0,4269829.5,90.04502868652344,511.3992919921875,0
2026-05-06 22:29:17.103,82.15622019767761,254,0.3587801456451416,7867837.5,20849890.0,10315976.0,91.24319458007812,476.8478698730469,0
2026-05-06 22:29:18.506,83.55979585647583,255,0.33148372173309326,28641866.0,107416432.0,29508292.0,89.40767669677734,487.58355712890625,0
2026-05-06 22:29:19.893,84.94660711288452,0,0.3360973596572876,7768469.0,13751133.0,6428089.0,90.60022735595703,485.0166015625,0
2026-05-06 22:29:21.267,86.32081913948059,1,0.3352077603340149,2620154.5,6493846.0,2564706.75,92.50931549072266,465.8662414550781,0
2026-05-06 22:29:22.674,87.72759652137756,2,0.32333996891975403,23077954.0,47548588.0,20059426.0,93.39732360839844,458.5043640136719,0
2026-05-06 22:29:24.055,89.1083562374115,3,0.3384447693824768,1653317.0,4840571.0,2338737.5,93.21595001220703,458.3786926269531,0
2026-05-06 22:29:25.442,90.49570488929749,4,0.3374136686325073,4135361.75,12042736.0,5254093.0,92.80742645263672,454.0206604003906,0
2026-05-06 22:29:26.803,91.85644459724426,5,0.325144499540329,7555673.0,20224014.0,6758913.0,94.40147399902344,449.1026916503906,0
2026-05-06 22:29:28.213,93.26663947105408,6,0.3219890594482422,17318076.0,58070232.0,23185816.0,97.25786590576172,407.719482421875,0
2026-05-06 22:29:29.618,94.67158365249634,7,0.38147467374801636,1253806.25,2518106.0,2565973.75,99.76444244384766,369.8396301269531,0
2026-05-06 22:29:30.996,96.049556016922,8,0.612136960029602,469501.5,312336.375,1591145.875,101.35134887695312,363.69744873046875,0
2026-05-06 22:29:32.377,97.42996025085449,9,0.5385348796844482,10435192.0,19563058.0,8844377.0,98.38754272460938,352.71527099609375,0
2026-05-06 22:29:33.775,98.82822465896606,10,0.4952640235424042,6407828.0,5863519.0,4691841.5,105.74239349365234,324.2292175292969,0
2026-05-06 22:29:35.166,100.21924376487732,11,0.4844774901866913,3548138.0,8451125.0,5441238.0,106.63507080078125,321.4381103515625,0
2026-05-06 22:29:36.545,101.59835290908813,12,0.4429723620414734,18418146.0,42857444.0,17911974.0,108.09188079833984,318.3957214355469,0
2026-05-06 22:29:37.942,102.99588418006897,13,0.4776882231235504,3377752.5,5461122.5,4541278.5,106.92010498046875,324.5642395019531,0
2026-05-06 22:29:39.313,104.36640477180481,14,0.6123042106628418,290896.34375,587330.375,1118336.625,107.15879821777344,322.7227783203125,0
2026-05-06 22:29:40.723,105.77687907218933,15,0.5371635556221008,6938033.0,31056054.0,9002182.0,104.2873764038086,325.0619201660156,0
2026-05-06 22:29:42.094,107.14732098579407,16,0.5128158926963806,1897858.25,3765479.75,3103365.25,102.60794830322266,328.3271789550781,0
2026-05-06 22:29:43.478,108.53114700317383,17,0.7094476222991943,152615.5625,186286.671875,443000.125,103.2850341796875,334.7463073730469,0
2026-05-06 22:29:44.912,109.96544098854065,18,0.6122532486915588,148996464.0,284606240.0,73393152.0,103.49288177490234,333.65338134765625,0
2026-05-06 22:29:46.308,111.36098122596741,19,0.5409177541732788,466396928.0,1377073024.0,387816736.0,99.70918273925781,370.0080261230469,0
2026-05-06 22:29:47.689,112.74233675003052,20,0.5897501707077026,78933.9765625,157047.8125,213595.4375,99.72299194335938,404.9288635253906,0
2026-05-06 22:29:49.082,114.13579654693604,21,0.5292046070098877,83266896.0,194922000.0,98898392.0,96.14100646972656,436.57275390625,0
2026-05-06 22:29:50.456,115.50896716117859,22,0.48007532954216003,726953344.0,1308448000.0,466309568.0,98.42789459228516,443.714111328125,0
2026-05-06 22:29:51.857,116.91032004356384,23,0.4347541630268097,12784983.0,49099732.0,16323788.0,97.82608795166016,448.4375,0
2026-05-06 22:29:53.237,118.29036450386047,24,0.42347484827041626,5162045.0,12225119.0,6743553.5,99.64018249511719,449.0696716308594,0
2026-05-06 22:29:54.634,119.6876118183136,25,0.49977344274520874,1051345.5,1499104.25,2112118.5,98.64364624023438,458.1752624511719,0
2026-05-06 22:29:56.017,121.07087302207947,26,0.43370306491851807,14867024.0,86527896.0,17084932.0,97.32360076904297,460.0953369140625,0
2026-05-06 22:29:57.432,122.48506927490234,27,0.40378761291503906,37953096.0,87112136.0,35700224.0,97.44214630126953,455.5895690917969,0
2026-05-06 22:29:58.813,123.86613988876343,28,0.4115690588951111,1518557.75,3151949.0,1681149.0,96.9958267211914,452.5792541503906,0
2026-05-06 22:30:00.197,125.25058698654175,29,0.38337284326553345,10758170.0,25411676.0,10504098.0,97.74640655517578,450.9716491699219,0
2026-05-06 22:30:01.604,126.65756869316101,30,0.36525002121925354,17676094.0,52671472.0,18210986.0,95.77014923095703,452.95733642578125,0
2026-05-06 22:30:03.004,128.05713486671448,31,0.3411244750022888,7356515.0,18280548.0,6287159.0,94.899169921875,452.62042236328125,0
2026-05-06 22:30:04.390,129.44304823875427,32,0.33848872780799866,16328308.0,27646672.0,15153422.0,93.83552551269531,454.02252197265625,0
2026-05-06 22:30:05.794,130.8479015827179,33,0.344349205493927,12031977.0,19796034.0,11793323.0,92.60449981689453,457.4880676269531,0
2026-05-06 22:30:07.161,132.2146577835083,34,0.3503309190273285,9161571.0,20950772.0,11040271.0,92.556884765625,466.8139343261719,0
2026-05-06 22:30:08.559,133.61218857765198,35,0.3251337707042694,17874030.0,79412400.0,19606232.0,92.50931549072266,467.6550598144531,0
2026-05-06 22:30:09.945,134.99857091903687,36,0.32229968905448914,4113862.5,9525721.0,4415586.5,92.09516143798828,467.8702392578125,0
2026-05-06 22:30:11.337,136.39060854911804,37,0.32118117809295654,7959815.0,18234214.0,8737659.0,91.59140014648438,470.89349365234375,0
2026-05-06 22:30:12.747,137.8006136417389,38,0.3157695531845093,6499191.5,19798570.0,7149930.5,91.25475311279297,475.3272705078125,0
2026-05-06 22:30:14.137,139.19027996063232,39,0.3207750618457794,8647971.0,21166310.0,8582978.0,89.75318145751953,475.616455078125,0
2026-05-06 22:30:15.532,140.58557963371277,40,0.32108598947525024,3233967.25,9071262.0,3995749.0,90.73724365234375,449.1772155761719,0
2026-05-06 22:30:16.921,141.97448420524597,41,0.3562996983528137,958487.25,2206268.75,1307814.0,90.78299713134766,448.05889892578125,0
